haf,55
28,1
heuen,9
wyle,3
nw,3
crye,1
reche,3
hi3,2
debated,1
innoghe,9
biso3t,3
hisseluen,1
lote,6
fele,11
twelue,1
cach,3
hwe,2
herle,1
lenkthe,1
fayry3e,1
276,1
rennes,2
heuened,1
ros,5
luflyly,4
hattes,2
onsware3,1
melykes,1
3if,15
k,26
chose,14
bylde,1
grayes,1
3isterdaye3,1
tene3,1
carpet,11
seme3,5
goule3,1
louke3,1
fayled,3
lore,4
sperred,1
100b,1
tok,1
crest,4
101,2
740,1
hore,1
sykyng,1
spede,4
blessing,8
800,1
battlements,1
fersly,2
ayther,7
stabled,2
boure,2
hym4,1
cheyer,1
brad,1
diner,2
schulden,2
gos,1
wener,1
kerchofes,1
treieted,1
blered,1
n,6
lode,3
graciously,1
speded,1
meue,3
996,1
1032,1
himseluen,1
1048,1
kenly,2
nw3ere,2
daye3,1
stylly,1
1132,1
1188,1
coverture,2
astyt,1
trayst,1
grante,1
yourself,77
1280,1
tryfle,1
1320,1
heldet,2
vndo,1
gutte3,1
1340,1
sunder,2
ly3te3,2
bestes,2
tas,3
delyuered,1
flosche,1
scent,12
stroke3,1
totes,2
3isterday,1
3ong,1
oute,1
1532,1
1568,1
rewarde3,1
blowing,4
songe3,1
resteyed,1
nw3ere3,2
vnhardeled,1
fnasted,2
spinny,1
1756,1
honours,4
renay,1
vnslayn,1
sawle,1
1904,1
merriest,1
byside,1
dryue3,1
lidde3,1
knock,9
prik,1
2068,1
2140,1
bothem,1
wayted,1
for3,1
2200,1
2232,1
grem,1
blode,2
flesh,27
flowed,8
2340,1
2348,1
gopnyng1,1
kyssen,1
2476,1
4112,1
par,1
t,5
kynd,1
1047,1
seluene,1
skef,1
unwin,1
translation,7
connected,10
actually,50
reflection,9
plaything,2
peculiarly,1
tragic,22
elude,1
generally,8
bodily,2
blind,52
dying,37
blurred,6
treason,2
heavenly,10
zeuschild,1
market,4
compassed,1
shine,13
403424,1
plottest,1
bull,4
dreams,27
allseeing,1
feud,2
phokis,1
himgod,1
shred,3
herdsmans,1
uncreate,1
tyrant,2
buy,19
halffound,1
unaging,1
unweeping,1
swiftness,1
lovers,19
hosts,1
himthe,2
damsels,1
masterless,1
easier,19
730,1
coedipus,1
revulsion,2
immediately,27
creonamid,1
toddling,1
stammered,15
alternately,2
miss,105
teasing,1
peoples,10
limp,5
gloomy,7
riquet,1
lulled,2
splashing,2
pronouncing,1
hows,3
box,24
neat,9
pillows,3
funny,41
sentiment,3
nowt,11
wench,15
makin,8
whipped,6
youis,1
tonight,27
learnin,4
wanderings,3
wondering,19
theyll,14
clever,36
watchin,6
rosebushes,5
enjoyed,15
currant,2
wingsmary,1
poppycheeked,1
intently,4
sentence,7
sympathy,15
strongest,8
patch,3
chased,2
span,2
crumbled,1
downabout,1
pat,6
whatll,1
takin,2
honeyand,1
weekand,1
trotted,3
squeezed,3
indignation,8
astonishment,12
swollen,6
amuses,2
wishing,11
breakfasts,1
expressed,11
folds,5
suck,7
notwithstanding,20
saucers,1
afternoons,4
blossoming,4
renewed,4
torrent,2
explore,3
defying,3
cascadesthey,1
throwing,10
methe,1
thrive,1
heartless,5
laughins,1
disappoint,1
stuffed,2
amazingly,1
intelligent,5
develop,1
bandy,1
theehe,1
thoughtsjust,1
germ,1
weakness,10
fatally,1
jumps,2
eagernessthat,1
dante,5
gemma,1
lesson,4
principle,1
collectors,1
shoehorn,1
incredulous,3
unpleasantly,1
absurd,22
advantage,11
managing,3
recognised,7
revolted,3
contact,2
baronetcy,3
strained,6
offensive,5
antecedents,2
education,3
actressy,1
charlies,5
jostling,1
repulsive,4
forgetful,1
recognized,11
throb,3
venice,2
episode,2
hobsons,1
unique,3
dazed,6
memorial,4
watsons,1
looting,1
freshcoloured,1
customsand,1
conquests,1
ridicule,1
decimated,1
anecdotes,1
taciturn,3
untidiness,1
appraisal,1
rescue,7
steadiness,1
useless,14
nighttook,1
bulging,1
countryside,1
constant,9
regain,4
struggling,6
wistful,1
